idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,BRAMAIA,KANKU BRAMAIA,KANKU BRAMAIA (BRAMAIA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,TOKEH,TOKEH (YORK RURAL)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,MANSUNDU (KOIDU CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,NEW YORK YAMS FARM,NEW YORK YAMS FARM (WATERLOO RURAL)
EASTERN,KONO,KONO DISTRICT,GBENSE,BAYAFEH,GBUKUMU (GBENSE)
EASTERN,KONO,KONO DISTRICT,GBENSE,BAYAFEH,DANDADOR (GBENSE)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,GBINLE,KATALAN,MASEBA (GBINLE)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,GBINLE,SANDA,YEAMALABAY (GBINLE)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,GBINLE,GBINLEH,DARES SALAM (GBINLE)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,DIXON,MAFARAY,MAFARAY (DIXON)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,DIXON,MAFARAY,MASIAKA (DIXON)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,DIXON,MATON,FODAYA (DIXON)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,DIXON,MATON,THANA (DIXON)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,DIXON,KALANGBA,SALATOKE (DIXON)
EASTERN,KONO,KONO DISTRICT,GBENSE,MOINDEFEH,BENDU (GBENSE)
EASTERN,KONO,KONO DISTRICT,GBENSE,MOINDEKOR,SMALL SAFEDU (GBENSE)
EASTERN,KONO,KONO DISTRICT,GBENSE,MOINDEKOR,OLD SEFADU (GBENSE)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,ROBIA,KONTA (KOYA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,SAMAI TOWN (KENEMA CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,FAKUNYA,NJAWA SECTION,FOYA LAPPIA (FAKUNYA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,THOMINAYA,MATHAM (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,THOMINAYA,KOYA MAGBEMA (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,KAINEH (MAGBEMA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,THAINKATOPA,KONKORIE,MASANGBAN (THAINKATOPA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,MAKAMA,MAGBAPSA,ROSINT MAKAMA (MAKAMA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,UPPER KPOMBAI,KONJO (LUAWA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,MASSERIE THENKEL (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,KARGBULOR,GBONKOMARIA (MAGBEMA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,THOMINAYA,KAMBIA 3 (MAGBEMA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KAFFU BULLOM,YONGORO,THOLMOLSO (KAFFU BULLOM)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,RONEITOR (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,DANSOGOIA,SONGONI,SONGONI (DANSOGOIA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,BUBUYA,KUKUNADEE (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,BUBUYA,KABAILOR (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,BUBUYA,FAINYEA (TONKO LIMBA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,TONKO LIMBA,BUBUYA,KASSIRIE MATHATHOI (TONKO LIMBA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TENG,BUMASSADOU,TANGABU (KISSI TENG)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TENG,BUMASSADOU,SENEHUN (KISSI TENG)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TENG,BUMASSADOU,KANGAMA (KISSI TENG)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI TENG,TOLI,KOINDU (KISSI TENG)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,ROYEAMA SECTION,ROLILIYA (KAMARANKA)
NORTHERN,FALABA,FALABA DISTRICT,DEMBELIA,MUSAIA SECTION,MADOGBO (DEMBELIA)
SOUTHERN,BONTHE,BONTHE DISTRICT,KPANDA KEMO,LAWANA,LAWANA (KPANDA KEMO)
SOUTHERN,BONTHE,BONTHE DISTRICT,KPANDA KEMO,TAKUNOH,JAHUN (KPANDA KEMO)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,KOIMATO,BENDU (BUM)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,KOIMATO,TASSOR (BUM)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,KOIMATO,MAAMI (BUM)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,KOIMATO,SIMBARU (BUM)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,BENGELOR,SIMBECKIHUN (LOWER BANTA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,LUAWA FOIYAH,DAMBALA (LUAWA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI KAMA,KAMATOH,DIA (KISSI KAMA)
SOUTHERN,BONTHE,BONTHE DISTRICT,BUM,KOIMATO,FAKONO (BUM)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI KAMA,KAMA TENG,FAMANDU (KISSI KAMA)
SOUTHERN,BONTHE,BONTHE DISTRICT,KPANDA KEMO,TAKUNOH,PELEHUN (KPANDA KEMO)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,WELLINGTON,UPPER SAMURA TOWN (EAST III)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,BENGUEMA,KERRY TOWN (WATERLOO RURAL)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,WELLINGTON,NO35 BOWEN STREET (EAST III)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI KAMA,KAMA TENG,SANGHA (KISSI KAMA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,KISSI KAMA,KAMATOH,MANO PORMOR (KISSI KAMA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,SEI,NJALIHUN (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,SEI,KPAKIMBU (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,VANJELU,MANDU (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,KENDEBO SECTION,SENGIMA (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,NGOVO,KPUABU (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,NGOVO,YAMANDU KONIBU (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,SEI,GIEMA (VALUNIA)
SOUTHERN,BO,BO DISTRICT,VALUNIA,LUNIA,MONGHERE (VALUNIA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,DANSOGOIA,SONGONI,GBOLIA (DANSOGOIA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MARA,MABILAFU,MABILAFU (MARA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MARA,MABILAFU,MASETHELEH (MARA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA BAFODIA,BAFODIA,BAFODIA
NORTHERN,BOMBALI,BOMBALI DISTRICT,MARA,MARA,ROWAKA (MARA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MARA,KIAMP KAKOLO,MAYAINGBAY (MARA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA BAFODIA,KAPONPON SECTION,KASETHINTY
NORTHERN,BOMBALI,BOMBALI DISTRICT,MARA,MANEWA,MAROKIE (MARA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA BAFODIA,KADANSO,KAKONSO
NORTHERN,BOMBALI,BOMBALI DISTRICT,MARA,MANEWA,MANEWA (MARA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MALONGBA (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,MAYATHA,ROGBERKA (KHOLIFA ROWALA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MAKELEGBOHUN,MABERREH (N'GOWAHUN)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,YORK RURAL,YORK (YORK RURAL)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,MAGBEMA,MAGBEMA,MAGBEMA
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBANTI,MASUBA,ARABIC COLLEGE ROAD (GBANTI)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBENDEMBU,LOHINDI,MAKAGO (GBENDEMBU)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,KAGBALA,MAKAMRIE (KOYA)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,LUAWA,BAOMA LUAWA,BAOMA LUAWA (LUAWA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,55 CONER KICK,555 CORNER KICK LUMPA (WATERLOO RURAL)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MANGAY BANA SECTION,MAGAY BANA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MANGAY BANA SECTION,ROSENGBEH (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MAPAKIE,MATUFULIE (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MAPAKIE,ROSINT (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MAKRUGBEH,MATHELE BANA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MAPAKIE,MAPAKIE (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MAPAKIE,MABORBOH (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MANGAY BANA SECTION,MAKINTH (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MANGAY BANA SECTION,MAMONKOR (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MANGAY BANA SECTION,ROKANIGBA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,MAMANKIE (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,MATHONKARA (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,MAKELLEH (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,MABEKIE (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,UPPER MANGE (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,MALMPOR (TANE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,TANE,MATHONKARA,MAROWGBA (TANE)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,HILL STATION,HILL TOP COMMUNITY (WEST III)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,WATERLOO,POGODON (YORK RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,LOVERS CONNER,LOVERS CONNER (KOYA RURAL)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAGBAIMBA NDORWAHUN,TANYEHUN,MATAMBA (MAGBAIMBA NDORWAHUN)
EASTERN,KONO,KONO DISTRICT,GBANE KANDOR,GBANE TETEMA,KOARDU (GBANE KANDOR)
EASTERN,KONO,KONO DISTRICT,GBANE KANDOR,GBENDEKOR,GBENDEMA (GBANE KANDOR)
EASTERN,KONO,KONO DISTRICT,GBANE KANDOR,GBANE KANDOR,GBAMANDU FAO (GBANE KANDOR)
EASTERN,KONO,KONO DISTRICT,GBANE KANDOR,GBENDEKOR,NONGOWA (GBANE KANDOR)
EASTERN,KONO,KONO DISTRICT,GBANE KANDOR,YAMBIDU,KUNTEH (GBANE KANDOR)
EASTERN,KONO,KONO DISTRICT,GBANE KANDOR,GBANE KANDOR,SINDADU (GBANE KANDOR)
SOUTHERN,BONTHE,BONTHE DISTRICT,SOGBENI,BEYORGBOR SECTION,KANGA (SOGBENI)
SOUTHERN,BONTHE,BONTHE DISTRICT,SOGBENI,NDOPIE,MANDO (SOGBENI)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,KUTTAY,KARDU (MAFINDOR)
SOUTHERN,BONTHE,BONTHE DISTRICT,SOGBENI,NDOPIE,NGUEH (SOGBENI)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,KAMEINDOR,KAMEINDOR (MAFINDOR)
SOUTHERN,BONTHE,BONTHE DISTRICT,SOGBENI,BEYORGBOR SECTION,MOYORGBOR (SOGBENI)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,MAFINDOR,BONGEMA (MAFINDOR)
SOUTHERN,BONTHE,BONTHE DISTRICT,SOGBENI,NDOPIE,SAAH (SOGBENI)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,FABIANA AREA,FABAINA (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,SONGO LOKO,SONGO LOKO (KOYA RURAL)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MARAKA (KHOLIFA ROWALA)
EASTERN,KONO,KONO DISTRICT,MAFINDOR,KUTTAY,DENGEDU (MAFINDOR)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,FAMANJO,LABOURYA (GORAMA MENDE)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,UPPER THUNDER HILL (EAST III)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,LUCINDA STREET (KENEMA CITY)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,CENTRAL I,BAMBARA TOWN,BAMBARA TOWN (CENTRAL I)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,BUUWAIHUN (KENEMA CITY)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,LAMIN KOSIA STREET (KENEMA CITY)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,MANEH SECTION,ROWALLAH (KAMARANKA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,ALLEN TOWN,DAVIS STREET LOWER ALLEN TOWN (EAST III)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,NGUMBU,GOMBU (KENEMA CITY)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,MABUREH,HAMILTON (YORK RURAL)
NORTHERN,BOMBALI,BOMBALI DISTRICT,GBENDEMBU,MAMAKA,MAMAKA (GBENDEMBU)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,SENGBE,LOWER KAMADUGU,FARANDUGU (SENGBE)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,WELLINGTON,PORTEE (EAST III)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,MANI,MOKOMBARA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,BENDUMA,BENDUMA (BAGRUWA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BAGRUWA,SEMBEHUN,GPAPPIE (BAGRUWA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BIRIWA,KARASA SECTION,KABUITA (BIRIWA)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-LAMBAYAMA,GOMBU/RTI (KENEMA CITY)
NORTHERN,BOMBALI,BOMBALI DISTRICT,MAGBAIMBA NDORWAHUN,MANJAHAGA,MANJAKA (MAGBAIMBA NDORWAHUN)
SOUTHERN,BO,BO DISTRICT,KAKUA,SINDEH SECTION,BAOMA LUNGIBU (KAKUA)
SOUTHERN,BO,BO CITY,BO TOWN,KENDEYAMA,KENDEYAMA (BO TOWN)
SOUTHERN,BO,BO CITY,BO TOWN,KENDEYAMA  SECTION,KENDEYAMA LAYOUT (BO TOWN)
SOUTHERN,BO,BO CITY,BO TOWN,KENDEYAMA  SECTION,KENDEYEMA  LAY OUT (BO TOWN)
NORTHERN,BOMBALI,BOMBALI DISTRICT,N'GOWAHUN,MAKOMBI,MAKITEH (N'GOWAHUN)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,GRASSFIELD (EAST III)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,MALLAH,NJEWOMA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,SONJOR 2,"KOUMA, (BARRI)"
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,SONJOR 2,DIA (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,MALLAH,NJALA BARRI (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,SERABU,SERABU (BARRI)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,BARRI,JOUGBA,GOMBU (BARRI)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,ALLEN TOWN,"BAI BUREY,ALLEN TOWN (EAST III)"
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,GBONKOBON KAYAKA,KAYAKA,KABONKA (GBONKOBON KAYAKA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,LOWER BANTA,MOFINDOH,MOSONGE (LOWER BANTA)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,SANGBANBA (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KAKELLIAN,KAMASORIE (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KAKELLIAN,KAMAKANTAY (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KAKELLAIN,KAGBASIA (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KAKALYA,KABUTA (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,KABENDA (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,KAKANU (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,KABENDUGU (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KAYAKA,SIMBECK KAYAKA (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,KAFOGO (KASUNKO KAKELLIAN)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,KASUNKO KAKELLIAN,KASUNKO,KAMABINKI (KASUNKO KAKELLIAN)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MASAKORAY (KHOLIFA ROWALA)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BAFINFEH,SEIDU (NIMIKORO)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,KPETEMA,UPPER SHELLMINGO (KENEMA CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOKEBAY,MOKELLEH (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOPAILEH,MOPELLEH (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,KORNOLOR,MOFANTHANNEH (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOKOBO,PELEWAHUN (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOKOBO,KPETEWOMA (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOYIBO,MOYIBI (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,GBUALLEY,MOKOLOH (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,GDUALAIL,GDUALAIL (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,NGIEHUN,NYAYAGOIHUN (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOBEH,BORMA (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOFUSS,MOFUSS (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,NGIEHUN,NGIEHUN (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MAMBO (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MOTHAINKIL (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MAMBO,MOTHAIN KIL (KAGBORO)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAGBORO,MOKOBO,MOKOBO (KAGBORO)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BOMBALI SEBORA,MAKAMA,PATE BANA ROAD (BOMBALI SEBORA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BOMBALI SEBORA,KAGBARANG,MAKAMBO VILLAGE (BOMBALI SEBORA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BOMBALI SEBORA,KAGBARA,PATE BANA MASIMBO (BOMBALI SEBORA)
NORTHERN,BOMBALI,BOMBALI DISTRICT,BOMBALI SEBORA,KAGBARA,MAKENI (BOMBALI SEBORA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MAKOSSEH,MAKOSSEH (KOYA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,MOYEAMIE,MOYEAMIE (BUMPEH)
EASTERN,KONO,KOIDU-NEW SEMBEHUN CITY,KOIDU CITY,MOINDEFEH,GBEKOR (KOIDU CITY)
EASTERN,KENEMA,KENEMA DISTRICT,GORAMA MENDE,KUALLAY,YUABU (GORAMA MENDE)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,SENGBE,LOWER KAMADUGU 1,FASEWAYA (SENGBE)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,WILBERFORCE,WILBERFORCE BARRACKS (WEST III)
NORTHERN,KOINADUGU,KOINADUGU DISTRICT,WARA WARA YAGALA,YAGALA,YATAYA/ YAGALA (WARA WARA YAGALA)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,MOFORAY,VAHUN (BUMPEH)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,WEST III,WILBERFORCE,BARRACKS (WEST III)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,MOFORAY,MOKONYA VILLAGE (BUMPEH)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,GODERICH,MANAH KPUKUMU DRIVE (YORK RURAL)
EASTERN,KENEMA,KENEMA CITY,KENEMA CITY,GBO-KAKAJAMA,SAMAITOWN (KENEMA CITY)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,BUMPEH,TISSANA,TISSANA (BUMPEH)
NORTHERN,BOMBALI,BOMBALI DISTRICT,KAMARANKA,MANIKIN SECTION,MALIKIA (KAMARANKA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,SAMUELS (EAST III)
SOUTHERN,MOYAMBA,MOYAMBA DISTRICT,KAIYAMBA,ANGIGBOYA,YELLEH (KAIYAMBA)
EASTERN,KONO,KONO DISTRICT,SOA,KOOKONGOKUMA,GONDAMA (SOA)
EASTERN,KONO,KONO DISTRICT,SOA,KOOKONGOKUMA,MANJAMA (SOA)
EASTERN,KONO,KONO DISTRICT,FIAMA,YORKOR,BOMBORDU (FIAMA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,BANGA FARM,BANGA FARM (KOYA RURAL)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,KOYA RURAL,LUMPA,LUMPA (KOYA RURAL)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,BUREH,MANGE MORIE,MANGE BUREH (BUREH)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAFONDA,ROCTOLON (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAFONDA,MAMBOI (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAFONDA,ROGBITHON (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,KAYIMBOR,MASHEKA (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,MAKABARIE,MAKABARIE (DIBIA)
NORTH WESTERN,KARENE,KARENE DISTRICT,DIBIA,ROGBALLAN,ROYALE (DIBIA)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,WATERLOO RURAL,SMALL COUNTRY,SMALL COUNTRY (WATERLOO RURAL)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,MAKPELE,SAMAGBAY,GBAA (MAKPELE)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,MAKPELE,SAMAGBAY,GISSIWULO (MAKPELE)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,MAKPELE,SAMAGBAY,DARE-SALAM (MAKPELE)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,MAKPELE,SAMAGBAY,NJALUAHUN (MAKPELE)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,MAKPELE,PEWA,PEWA (MAKPELE)
SOUTHERN,PUJEHUN,PUJEHUN DISTRICT,MAKPELE,KENGO,GOFOR (MAKPELE)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MAGBOTHO (KHOLIFA ROWALA)
