idregion,iddistrict,idcouncil,idchiefdom,idsection,idtown
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MAGBAFTH (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MASAKORAY (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MAKUMP JUNCTION (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MACONTEH-THAMA (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,FOTHANEH THAMA (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,THAMA,MATHOLLEY (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,SANDA,SARR BINTHIE (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,SANDA,PETIFU LINE (KUNIKE SANDA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KUNIKE SANDA,SANDA,PETIFU MAKANSIRA (KUNIKE SANDA)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MATHERIE,MACOMBAY (KOYA)
NORTH WESTERN,KAMBIA,KAMBIA DISTRICT,SAMU,KASSIRIE,MAGBOKA (SAMU)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAGBAKAHUN,NDORGBOI (NIMIYAMA)
EASTERN,KENEMA,KENEMA DISTRICT,NONGOWA,KONA FOIYA,VAAHUN (NONGOWA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,BAFINFEH,TEMBEDU (NIMIYAMA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,BAFINFEH,SUMBEDU (NIMIYAMA)
EASTERN,KONO,KONO DISTRICT,NIMIYAMA,NJAIAFEH,BASSAYA (NIMIYAMA)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,JAIAMA,PETOR (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,SMALL NGAIYA (NIMIKORO)
EASTERN,KONO,KONO DISTRICT,NIMIKORO,BANDAFAFEH,SIMBAKORO (NIMIKORO)
WESTERN,WESTERN AREA RURAL,WESTERN AREA RURAL DISTRICT,YORK RURAL,LAKKA,LAKKA (YORK RURAL)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST III,KISSY,KISSY DOCK YARD (EAST III)
NORTH WESTERN,PORT LOKO,PORT LOKO DISTRICT,KOYA,MATHERIE,MATHERIE (KOYA)
WESTERN,WESTERN AREA URBAN,FREETOWN CITY,EAST II,MAGAZINE,DOVE CUT (EAST II)
EASTERN,KAILAHUN,KAILAHUN DISTRICT,MANDU,NJAGBELA,TAWAY (MANDU)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MASANGA (KHOLIFA ROWALA)
NORTHERN,TONKOLILI,TONKOLILI DISTRICT,KHOLIFA ROWALA,LAL LENKEN,MANSAGA (KHOLIFA ROWALA)
